parish_index,name,diocese,site_url,page_url,sources
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/deacon-david-ray,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/deacon-raymond-gueret,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/fr-francis-matiru-fmh,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/john-klein,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/karen-franklin,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/kay-truslow,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/liz-gregorius,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/patrick-gregorius,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/sarah-rose-burder,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/tom-riello,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/people/zavie-george,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/photoalbums,sitemap
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/register-for-a-sacrament,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/service-minstries,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/society-of-st-vincent-de-paul,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/spiritual-ministries,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/staff,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/what-are-the-sacraments,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/young-adult-ministry,"homepage_link, sitemap"
1,Holy Spirit Catholic Parish,Archdiocese of Mobile,https://holyspiritmgm.org/,https://holyspiritmgm.org/youth-ministry,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/,"homepage, homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/about,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/acyc-1,homepage_link
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/acyc-high-school,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/acyc-jr,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/altar-servers,"homepage_link, sitemap"
