diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
Diocese of Monterey,425 Church Street,Monterey,CA,http://www.dioceseofmonterey.org/,https://www.dioceseofmonterey.org/parishfinder,TRUE,TRUE
Diocese of Oakland,"2121 Harrison Street, Suite 100",Oakland,CA,http://www.oakdiocese.org/,https://www.oakdiocese.org/parishes/,,FALSE
Diocese of Orange,"Pastoral Center, 13280 Chapman Avenue",Garden Grove,CA,http://www.rcbo.org/,https://www.rcbo.org/directories/parishes/,,FALSE
Diocese of Sacramento,2110 Broadway,Sacramento,CA,https://www.scd.org/,https://www.scd.org/parishes,,FALSE
Diocese of San Bernardino,1201 E. Highland Avenue,San Bernardino,CA,http://www.sbdiocese.org/,https://www.sbdcatholics.org/parishes/,,FALSE
Diocese of San Diego,P.O. Box 85728,San Diego,CA,https://sdcatholic.org/,https://sdcatholic.org/find-a-parish/,,FALSE
Diocese of San Jose,"1150 North 1st Street, Suite 100",San Jose,CA,http://www.dsj.org/,,,FALSE
Diocese of Santa Rosa,P.O. Box 1297,Santa Rosa,CA,https://srdiocese.org/,https://srdiocese.org/parishfinder,TRUE,TRUE
Diocese of Stockton,212 N. San Joaquin Street,Stockton,CA,http://www.stocktondiocese.org/,https://www.stocktondiocese.org/parishfinder,,FALSE
Archdiocese of Denver,1300 South Steele Street,Denver,CO,http://www.archden.org/,https://archden.org/parish-locator,,FALSE
Diocese of Colorado Springs,"Diocesan Pastoral Center, 228 N. Cascade Avenue",Colorado Springs,CO,http://www.diocs.org/,,,FALSE
Diocese of Pueblo,101 N. Greenwood Street,Pueblo,CO,http://www.dioceseofpueblo.org/,https://www.diopueblo.org/parishes,,FALSE
Ukrainian Catholic Eparchy of Stamford,14 Peveril Road,Stamford,CT,http://www.stamforddio.org/,https://www.stamforddio.org/parishes,,FALSE
Archdiocese of Hartford,467 Bloomfield Avenue,Bloomfield,CT,http://www.archdioceseofhartford.org/,https://archdioceseofhartford.org/parishes/,,FALSE
Diocese of Bridgeport,"100 Beard Sawmill Road, Suite 650",Shelton,CT,http://www.bridgeportdiocese.com/,https://www.bridgeportdiocese.org/mass-times/,,FALSE
Diocese of Norwich,201 Broadway,Norwich,CT,http://www.norwichdiocese.org/,https://www.norwichdiocese.org/Find/Parish-Communities,,FALSE
Diocese of Wilmington,1925 Delaware Avenue,Wilmington,DE,http://www.cdow.org/,https://cdow.org/find-a-parish/,,FALSE
Archdiocese of Miami,9401 Biscayne Boulevard,Miami Shores,FL,http://www.miamiarch.org/,,,FALSE
Diocese of Orlando,P.O. Box 1800,Orlando,FL,http://www.orlandodiocese.org/,https://www.orlandodiocese.org/find-a-parish/,,FALSE
Diocese of Palm Beach,9995 N. Military Trail,Palm Beach Gardens,FL,http://www.diocesepb.org/,https://www.diocesepb.org/parishes/,,FALSE
Diocese of Pensacola-Tallahassee,11 North B Street,Pensacola,FL,http://www.ptdiocese.org/,https://www.ptdiocese.org/parishfinder,TRUE,TRUE
Diocese of St. Augustine,11625 Old St. Augustine Rd.,Jacksonville,FL,http://www.dosafl.com/,https://dosafl.com/parishes/,,FALSE
Diocese of St. Petersburg,6363 9th Avenue N.,St. Petersburg,FL,http://www.dosp.org/,https://www.dosp.org/parishes/,,FALSE
Diocese of Venice,1000 Pinebrook Road,Venice,FL,http://www.dioceseofvenice.org/,https://dioceseofvenice.org/find-a-parish/,,FALSE
Archdiocese of Atlanta,"2401 Lake Park Drive, S.E.",Smyrna,GA,http://www.archatl.com/,https://archatl.com/places/parishes/,,FALSE
Diocese of Savannah,2170 East Victory Drive,Savannah,GA,http://www.diosav.org/,https://www.diosav.org/en/about-us/parishes,,FALSE
Diocese of Honolulu,1184 Bishop Street,Honolulu,HI,http://www.catholichawaii.org/,https://www.catholichawaii.org/parish-listing/,,FALSE
Diocese of Boise,"1501 S. Federal Way, Suite 400",Boise,ID,http://www.catholicidaho.org/,https://www.dioceseofboise.org/parishes,,FALSE
