diocese_name,address,city,state,site_link
Diocese of Arlington,200 North Glebe Road,Arlington,VA,http://www.arlingtondiocese.org/
Diocese of Richmond,7800 Carousel Lane,Richmond,VA,http://www.richmonddiocese.org/
Archdiocese of Seattle,710 9th Avenue,Seattle,WA,http://www.seattlearchdiocese.org/
Diocese of Spokane,P.O. Box 1453,Spokane,WA,http://www.dioceseofspokane.org/
Diocese of Yakima,P.O. Box 2189,Yakima,WA,http://www.yakimadiocese.org/
Archdiocese of the Military Services,"1025 Michigan Avenue N.E., P.O. Box 4469",Washington,DC,http://www.milarch.org/
Archdiocese of Washington,P.O. Box 29260,Washington,DC,http://www.adw.org/
Diocese of Wheeling-Charleston,1300 Byron Street,Wheeling,WV,http://www.dwc.org/
Archdiocese of Milwaukee,P.O. Box 70912,Milwaukee,WI,http://www.archmil.org/
Diocese of Green Bay,P.O. Box 23825,Green Bay,WI,http://www.gbdioc.org/
Diocese of La Crosse,"3710 East Avenue South, P.O. Box 4004",La Crosse,WI,http://www.diolc.org/
Diocese of Madison,"702 South High Point Road, P.O. Box 44983",Madison,WI,http://www.madisondiocese.org/
Diocese of Superior,1201 Hughitt Avenue,Superior,WI,http://www.catholicdos.org/
Diocese of Cheyenne,2121 Capitol Avenue,Cheyenne,WY,https://dcwy.org/
